Who is the Senior Senator from Alabama?,"Tommy Tuberville (R), 71 years old. Facts: Former Auburn football coach who won national championship; First coach elected to Senate since 1970s; Delayed 300+ military promotions in 2023 over Pentagon abortion policy."
Who is the Junior Senator from Alabama?,"Katie Britt (R), 43 years old. Facts: Youngest Republican woman ever elected to Senate; Former chief of staff to Richard Shelby; Gave Republican response to 2024 State of the Union address."
Who is the Senior Senator from Alaska?,"Lisa Murkowski (R), 68 years old. Facts: Appointed by her father Governor Frank Murkowski; Only senator to win as write-in candidate (2010); Votes independently from party frequently on abortion and other issues."
Who is the Junior Senator from Alaska?,"Dan Sullivan (R), 60 years old. Facts: Marine Corps Reserve colonel; Former Alaska Attorney General and Natural Resources Commissioner; Born in Ohio but Alaska resident since 1990s."
Who is the Senior Senator from Arizona?,"Mark Kelly (D), 61 years old. Facts: Former NASA astronaut who flew 4 space missions; Husband of former Rep. Gabby Giffords (survived assassination attempt); US Navy combat pilot who flew 39 missions."
Who is the Junior Senator from Arizona?,"Ruben Gallego (D), 45 years old. Facts: Marine Corps Iraq War veteran; Son of Colombian and Mexican immigrants raised by single mother; Harvard graduate who represented working-class Phoenix district."
Who is the Senior Senator from Arkansas?,"John Boozman (R), 74 years old. Facts: Former optometrist who practiced for years; Played college football at University of Arkansas; Oldest of four children raised on family farm in Arkansas."
Who is the Junior Senator from Arkansas?,"Tom Cotton (R), 48 years old. Facts: Army veteran (served in Iraq and Afghanistan); Harvard Law graduate and former clerk; Was youngest senator when first elected at age 37."
Who is the Senior Senator from California?,"Alex Padilla (D), 52 years old. Facts: First Latino senator from California; Appointed to replace Kamala Harris when she became VP; Former Los Angeles City Council member and California Secretary of State."
Who is the Junior Senator from California?,"Adam Schiff (D), 65 years old. Facts: Led Trump's first impeachment as House manager; Former federal prosecutor; Stanford and Harvard Law graduate who represented Burbank area."
Who is the Senior Senator from Colorado?,"Michael Bennet (D), 61 years old. Facts: Brother of journalist James Bennet (former NY Times editor); Former Denver Public Schools superintendent; Ran for president in 2020 as moderate Democrat."
