1 Text, 2 Text
"What is McMaster's 'Dereliction of Duty' about?","Vietnam-era civil-military failure. JCS failed to give honest military advice to LBJ. Required reading for strategic-level understanding."
"What is Ricks' 'The Generals' about?","History of American generalship and accountability. Why generals stopped being fired after WWII."
"What was the largest U.S. military operation in history?","Meuse-Argonne Offensive (1918). 1.2 million American troops."
"Name the professional military journals for continuing education.","Parameters (Army War College), Military Review (CGSC), Joint Force Quarterly, RUSI Journal."
"What is 'War on the Rocks'?","Contemporary defense analysis website. Expert commentary on current issues."
"What reading list is official U.S. Army?","Chief of Staff of the Army Professional Reading List."
"What reading list is official USMC?","Commandant of the Marine Corps Professional Reading List."
"Three levels of continued depth after this curriculum?","Tactical (Rommel, Sledge), Operational (CMH campaign series), Strategic (Gaddis, Kennedy)."
"What is Rommel's 'Infantry Attacks' about?","WWI small unit tactics. Tactical decision-making in the moment."
"What is Kennedy's 'Rise and Fall of Great Powers' about?","Economic base of military power. Imperial overstretch destroys great powers."
