Sugar Maple,,
What is this tree?,Loblolly pine (pinus taeda)
Red Maple,,
What is this tree?,Sugar Maple (Acer saccharum)
What tree do these belong to?,"Acer rubrum, the red maple

also known as swamp maple, water maple or soft maple"
Eastern White Pine,,
White Oak,,
What is this tree?,"Acer rubrum, the red maple, 

also known as swamp maple, water maple or soft maple
"
Flowering Dogwood,,
Norway Maple,,
American Beech,,
Douglas Fir,,
Black Birch,,
Hornbeam,,
Staghorn Sumac,,
Black Walnut,,
Black Cherry,,
Chaga,"Inonotus obliquus
",
Reishi,Ganoderma lingzhi,
Lion’s Mane,Hericium erinaceus,"monkey head mushroom, bearded tooth mushroom, satyr's beard, bearded hedgehog mushroom, pom pom mushroom, or bearded tooth fungus
",
Cordyceps,a genus of ascomycete fungi,
Maitake,Grifola frondosa,,Hen-of-the-woods
Shiitake,Lentinula edodes,
Turkey tail,Coriolus versicolor and Polyporus versicolor,
How to quit vim?,q,w,z,esc
How to save and quit vim?,wq
Better alternative to wget or curl,http
How to scroll up in tmux?,"Ctrl-a
Fn + up/down arrow"
How to select text in vim?,v
How to list a directory and include dot files?,ls -a
How do I easily make a license file for a project?,mklicense
How do you download a file?,http --download URL
How do you unzip a zip file?,unzip
How to insert line below in vim (in normal mode)?,o for blank line after,O for blank line before
Delete current line in vim,dd
Skip to line in vim,"line number 
shift-g"
Expand the current tmux pane to take up the entire window,ctrl-a z
Control spotify,spt
Show system stats,btm
Better alternative to cat,bat
What tool replaces `cd` with fuzzy matching?,`zoxide`
What is a quick alternative to `cd` a full path? ,`z [PATH]` to intelligently fuzzy-find based on recent activity
What key opens fuzzy command search with `atuin` ?,ctrl-r
What command line tool makes it easy to render .md files?,`glow`
How do you create a new branch with your current changes in git?,git switch -c topic/wip -m
What does the * key do in Neovim?,"Searches forward for the exact word under cursor. Use n to go to next match, N for previous match."
What does the # key do in Neovim?,"Searches backward for the exact word under cursor. Use n to go to next match, N for previous match."
How do you quickly find and open any file in your project?,Press <Space>ff to open Telescope file finder.
How do you view and switch between all open buffers/files?,Press <Space>fb to show all open buffers in a searchable list.
How do you jump to the definition of a function or variable?,Press gd (go to definition) with cursor on the symbol.
How do you quickly cycle through open files without menus?,<Space>Tab  to switch between open buffers
What key do you press to open Telescope file finder?,<Space>ff
How to livegrep in lazyvim/neovim?,Leader (space) /
How to fold everything down to top-level?,zM
"If everything is folded, how do we un-fold it one level?",`zr`
What does pressing f followed by a character do in LazyVim's Find mode?,Jumps the cursor forward to the next instance of that character.
How do you jump to the 3rd instance of a character using Find mode?, Type 3f followed by the character.
What’s the difference between Find (f) and “To” (t) mode?,“To” mode moves before the target character instead of on it.
What does d2ts do in LazyVim?,Deletes text from the cursor up to before the second instance of s.
What does Ctrl-o do in Neovim?,Jumps back to the previous location in the jump history.
What is the opposite of Ctrl-o in Neovim?,"Ctrl-i, which jumps forward in the jump history."
What happens visually when you enter Seek mode?,Part of the screen dims and labels appear on targets.
What does f<char> do in Find mode?,Jumps forward to the next instance of <char>.
"What does t<char> do in To mode?

",Jumps just before the <char> (forward).
How do you repeat a Find jump forward?,Press ;
How do you repeat a Find jump backward?,"Press ,"
Which mode should you use for longer-range navigation: Seek or Find?,Seek — shows labeled targets without counting.
What keybinding opens the Snacks file picker in LazyVim?,<Space><Space> (Spacebar twice)
How do you change directories from inside LazyVim?,Use :cd /path/to/dir and press <Enter>
How do you change a window's working directory?,:lcd
What key is used to add a new file or folder in the explorer?,a — Use with a trailing slash (/) to create a folder.
How do you rename a file or folder in the explorer?,Press r while the item is selected.
What does the y key do in the explorer?,"It ""yanks"" (copies) the selected file to the pseudo-clipboard."
