1 Text, 2 Text
"What is a Battalion Tactical Group (BTG)?","Russian combined arms unit. Failed in Ukraine due to insufficient infantry. ~800 troops, tank/motor rifle core."
"What Russian doctrine failed at Kyiv (Feb 2022)?","Deep Operations. Logistics collapsed, forces outran supplies, culminated short of objectives."
"When did Russian offensive in Ukraine culminate?","Late February/early March 2022. Failed to take Kyiv, pivoted to Donbas."
"What is 'mowing the grass' doctrine?","Israeli pre-Oct 7 approach: periodic operations to degrade Hamas, then return to status quo. Failed."
"Three types of warning failure (intelligence)?","Tactical (immediate, concrete), Operational (weeks/months, capabilities), Strategic (broad trends, policy)."
"What was 'The Concept' in 1973 Yom Kippur failure?","Assumption that Egypt wouldn't attack until they had air superiority. Conceptual failure despite evidence."
"What was the 2023 Israel analogue to 'The Concept'?","'Hamas is deterred and focused on governance.' Conceptual failure—info existed, framework didn't process it."
"What enabled HTS victory in Syria (Dec 2024)?","Russia distracted by Ukraine. Israel degraded Hezbollah. Assad's trinity collapsed: exhausted base, no external military, support network gone."
"What was the 2013 Syria red line?","Obama threatened strikes over chemical weapons, then didn't follow through. Debate over credibility effects."
"Who is the best source for Ukraine tactical analysis?","RUSI (Royal United Services Institute). Also ISW daily updates."
"What are the three ongoing conflicts for applied PME?","Ukraine (conventional peer), Gaza (urban COIN), Syria (multi-actor collapse)."
"What does Ukraine teach about attrition vs maneuver?","Maneuver warfare extremely difficult under persistent ISR and fires. Industrial attrition returned."
"How many miles of tunnels in Gaza?","350-450 miles. Third dimension adds fourth dimension to urban warfare."
"What is the approximate casualty ratio in Gaza urban combat?","~50:1 in IDF favor tactically. But strategic-tactical disconnect echoes Vietnam."
"What collapsed Assad's trinity (Clausewitz)?","People: Alawite base exhausted. Military: Russia distracted, Hezbollah degraded. Government: external support network gone."
