Name,Weight_oz,Parent Container,Type,Category,Subcategory,Priority,Waterproof,Worn,Qty,Consumable,Star,Notes,Tags,Condition,Amazon_URL,Last_Used,Purchase_Date,Purchase_Price,Photo_URL,Scan_3D_URL,Serial_Number,Model_Number,Brand,Location_Room,Location_Detail
Spliffings Bag,0.1,WLF Enduro Pack Vest,Utility,Adventure,Utility,High,Yes,No,1,No,No,1l Blue dry bag with see-through window with Spliffings written on the side in Sharpie,all-season;waterproof,Good,https://www.amazon.com/gp/product/B07P4WTBJ7/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,2025-08-19,,,,,,,,Storage,WLF Enduro Pack Vest
Timbuk2 Waist Pack,70.5,5.11 Rush 24 Backpack,Bag,Adventure,Storage,High,No,No,1,No,No,Benched — moved to Hyperlite Daybreak 22 for everyday. Contents need re-homing.,all-season;urban;standby,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
XPro-3,28.9,Hyperlite Daybreak 22,Tech,Tech,Electronics,High,No,No,1,No,No,"Grail camera. EVF/OVF hybrid viewfinder with preview window is ideal shooting style - perfect ergonomics. Dial quirks (shutter indent lock, ISO pull-dial) are lovable eccentricities. Bought from B&H after XT1 was stolen from car in Brooklyn - a testament to my love of photography, starting again from scratch. With handgrip, custom shutter button, 23mm f/2 lens.",all-season;photography;street;grail,Good,https://www.fujifilm-x.com/en-us/products/cameras/x-pro3/,2025-08-19,,,,https://raw.githubusercontent.com/KhronosGroup/glTF-Sample-Models/main/2.0/Duck/glTF-Binary/Duck.glb,,,Fujifilm,Storage,Timbuk2 Waist Pack
Small Packtowel,0.1,Timbuk2 Waist Pack,Utility,Adventure,Utility,High,No,No,1,No,No,Multi-use: camera lens cleaning + spill cleanup + cooling cloth + food prep,all-season;essential;multi-use;none,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Large Packtowel,,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Medium,No,No,1,No,No,Body towel for swimming/bathing + ground cloth for resting,all-season;comfort;hygiene;none,Good,https://www.amazon.com/gp/product/B09LNSFL4Q/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1&psc=1,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Matador Ground Blanket,0.1,Hyperlite Daybreak 22,Comfort,Personal,Comfort,High,No,No,1,No,No,Ultralight packable ground sheet for sitting anywhere,outdoor;comfort,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Small Watercolor Notebook,6,HOME-BASE,Creativity,Creative,Art,High,No,No,1,No,No,Old art kit — not carried much anymore; superseded by the mini watercolor bundle.,art;creativity;analog;field-sketching;mindfulness;standby,Good,,2025-08-19,,,,,,,Leuchtturm,Storage,Timbuk2 Waist Pack
Spare Fujifilm Battery,0.1,Hyperlite Daybreak 22,Creativity,Creative,Art,Medium,No,No,4,No,No,4,photography;tech,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Pentel Watercolor Brush,0.1,HOME-BASE,Creativity,Creative,Art,High,No,No,1,No,No,Old art kit — not carried much anymore; superseded by the mini watercolor bundle.,art;creativity;analog;field-sketching;watercolor;standby,Good,,2025-08-19,,,,,,,Pentel,Storage,Timbuk2 Waist Pack
General's Sketching Pencil,0.1,HOME-BASE,Creativity,Creative,Art,High,No,No,1,No,No,Old art kit — not carried much anymore; superseded by the mini watercolor bundle.,art;creativity;analog;field-sketching;drawing;standby,Good,,2025-08-19,,,,,,,General's,Storage,Timbuk2 Waist Pack
CRKT Small Fixed Knife,2.5,WLF Enduro Pack Vest,Utility,Adventure,Utility,High,No,No,1,No,No,"Emergency always-on-vest knife. Treasured, packable, concealable. Perfect around camp - the utility blade while the Lionsteel stays pristine for finer work.",tactical;edc;camp;emergency;fixed-blade,Good,,2025-08-19,,,,,,,CRKT,Storage,Timbuk2 Waist Pack
Hankerchief,0.1,Body,Utility,Adventure,Utility,High,No,No,1,No,No,"Classic multi-tool. Sweat, spills, impromptu napkin, camera wipe backup.",edc;utility;multi-use;basic,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
GE Microcassette Recorder,7.23,ARCHIVED,Creativity,Creative,Art,High,No,No,1,No,No,Analog recorder - in safe storage for repair,all-season;archived,Good,,2025-08-19,,,,,,,,Storage,Archived
Medical Shears,2,5.11 Rush 24 Backpack,Safety,Adventure,Safety,Medium,No,No,1,No,No,Trauma shears for cutting through clothing and materials in emergency medical situations,medical;emergency;tactical,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
iPhone 15 Pro Max,8.5,Body,Utility,Adventure,Utility,High,Yes,Yes,1,No,No,The perfect phone. Titanium for life. Close-up video/photo when Fuji handles composition work.,edc;tech;communication;photography;video;titanium,Good,,2025-08-19,,,,,,,Apple,EDC,On person
Aroundsquare Titanium Begleri,0.5,Muji Pen/Notebook Case,Comfort,Personal,Comfort,High,No,Yes,1,No,No,"Meditative fidget. Has held me together in difficult times - use it to think. Adult evolution from years of balisong trainers: simpler, more interesting, without the weird violent implications. Silk paracord. Squared Ti beads on silk paracord.",edc;fidget;meditation;focus;titanium;skill-toy,Good,https://www.aroundsquare.com/products/titans-titanium,2025-08-19,,,,,,,Aroundsquare,EDC,On person
North Face Circaloft Booties,18,Body,Comfort,Personal,Comfort,Low,No,No,1,No,No,Warm insulated slippers for wearing around in cold weather,alpine;cold-weather;winter,Good,,2025-08-19,,,,,,,,EDC,On person
Naked & Famous Cashmere Blend Jeans,,Body,Comfort,Personal,Comfort,High,No,Yes,1,No,No,Daily wear. Cashmere for warmth and next-to-skin comfort. Layer underneath Mosko Woodsman ADV pants for riding. Tried other fancy denim - N&F has the best fit/cuts for my body.,clothing;comfort;daily-wear;layering;denim,Good,https://www.nakedandfamousdenim.com/en/cashmere-blend-stretch-denim,2025-08-19,,,,,,,Naked & Famous,EDC,On person
Mosko Moto Woodsman Pants,,Body,Comfort,Personal,Comfort,High,No,Yes,1,No,No,"Perfect ADV pants for motorcycling, camping, and short hikes - same pants over weeks and huge weather changes. Layer with down pants underneath in cold, vents wide open in heat. Schoeller waterproof knees/seat, stretchy everywhere.",motorcycle;camping;hiking;all-weather;layering;adv,Good,https://moskomoto.com/products/woodsman-enduro-pant,2025-08-19,,,,,,,Mosko Moto,EDC,On person
North Face Circaloft Hoodie,16,Body,Comfort,Personal,Comfort,Low,No,No,1,No,No,Former EDC mid-layer - zipper broke after a year of hard wear. Replaced by Cerium + AirMesh combo.,3-season;alpine;cold-weather;backup,Good,,2025-08-19,,,,,,,The North Face,EDC,On person
Arc'teryx Cerium Hoody,10.2,Body,Comfort,Personal,Comfort,High,No,No,1,No,No,EDC down jacket. Upgraded from Circaloft after zipper failure. Paired with AirMesh for ultralight 30-65F coverage.,cold-weather;down;ultralight;layering;edc,Good,https://arcteryx.com/us/en/shop/mens/cerium-hoody,2025-08-19,,,,,,,Arc'teryx,EDC,On person
Mountain Hardwear AirMesh Hoody,8.5,Body,Comfort,Personal,Comfort,High,No,No,1,No,No,Active insulation layer. Paired with Cerium for great ultralight combo covering 30-65F. Breathes while moving.,cold-weather;active;ultralight;layering;edc,Good,https://www.rei.com/product/250888/mountain-hardwear-airmesh-long-sleeve-hoody-mens,2025-08-19,,,,,,,Mountain Hardwear,EDC,On person
Gildan Cotton Hoodie,14.8,Body,Comfort,Personal,Comfort,High,No,Yes,1,No,No,"Basic cotton layer. Cheap, comfortable, replaceable - but the cut is actually really good.",clothing;comfort;layering;basic,Good,,2025-08-19,,,,,,,Gildan,EDC,On person
Uniqlo Airism Boxer Briefs,,Body,Comfort,Personal,Comfort,High,No,Yes,1,No,No,"Breathable, moisture-wicking daily wear. The standard.",clothing;comfort;base-layer;basic,Good,,2025-08-19,,,,,,,Uniqlo,EDC,On person
Moletta Lionsteel Folding Black Knife,5.4,Body,Utility,Adventure,Utility,High,No,Yes,1,No,No,"Work of art by Michele Pensato (nicknamed Molletta — Italian for clothes peg), an archaeologist who designed knives after years of needing them in the field. Made in Maniago, the knife capital of Italy, since 1969. The circular spine mechanism is the RotoBlock: one small turn locks the framelock open, converting this folder into something functionally identical to a fixed blade. CNC-milled from solid aluminum billet. Acquired at a beloved Portland Maine knife shop. Does for me what a Rolex does for some — deep pleasure in USING this perfectly shaped steel daily. Back pocket of jeans at all times. Window breaker tip kept handy while riding for emergency egress.",edc;tactical;folder;daily-carry;motorcycle-safety;heirloom,Good,https://www.lionsteel.it/en/designer/5/molletta_-_michele_pensato,2025-08-19,,,,,,,Lionsteel,EDC,On person
Arcteryx Rho Gloves,0.1,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,High,No,No,1,No,No,Lightweight merino wool liner gloves for cold weather layering and dexterity,cold-weather;merino;layering,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Nike ACG Air Zoom Gaiadome GORE-TEX Shoes,44.0,Body,Utility,Adventure,Utility,Medium,Yes,Yes,1,No,No,Waterproof hiking boots with urban style and all-terrain traction,waterproof;hiking;urban;all-terrain,Good,https://www.nike.com/in/launch/t/acg-zoom-gaiadome-gore-tex-trails-end-brown,2025-08-19,,,,,,,Nike,EDC,On person
5.11 Rush 24 Backpack,128,Motorcycle,Bag,Adventure,Storage,Medium,No,No,1,No,Yes,"Goldilocks bag - perfect for both city and fitting on back of motorcycle. Main storage when riding, holds the modular systems (sleep, coffee) when needed.",tactical;storage;motorcycle;modular-base,Good,,2025-08-19,,,,,,,5.11,Vehicle,Motorcycle
